training_001.png,BITE,2,155,21,173
training_001.png,NORMAL,66,112,86,134
training_001.png,NORMAL,0,194,16,213
training_001.png,NORMAL,158,149,177,171
training_001.png,NORMAL,104,1,125,22
training_001.png,BITE,26,8,44,24
training_001.png,BITE,111,137,130,156
training_001.png,BITE,68,85,88,105
training_001.png,BITE,60,50,80,69
training_001.png,BITE,0,83,16,101
training_001.png,NORMAL,154,66,173,87
training_001.png,NORMAL,169,200,188,217
training_001.png,BITE,46,67,67,86
training_001.png,BITE,92,174,111,195
training_001.png,BITE,0,2,13,20
training_001.png,NORMAL,195,200,215,217
training_001.png,NORMAL,83,109,104,131
training_001.png,NORMAL,23,86,44,106
training_001.png,BITE,23,148,41,169
training_001.png,BITE,129,203,145,217
training_001.png,BITE,136,88,155,106
training_001.png,NORMAL,23,26,44,46
training_002.png,NORMAL,168,195,188,215
training_002.png,BITE,46,26,61,43
training_002.png,BITE,198,60,215,78
training_002.png,BITE,86,156,106,173
training_002.png,BITE,84,132,105,152
training_002.png,BITE,155,48,171,65
training_002.png,NORMAL,126,41,148,60
training_002.png,BITE,60,134,81,155
training_002.png,BITE,67,19,86,39
training_002.png,BITE,170,18,190,39
training_002.png,BITE,88,177,106,196
training_002.png,BITE,4,39,26,58
training_002.png,NORMAL,108,16,129,37
training_002.png,NORMAL,91,110,115,132
training_002.png,NORMAL,83,49,104,69
training_002.png,NORMAL,3,111,24,132
training_002.png,NORMAL,5,200,26,217
training_002.png,NORMAL,23,4,44,26
training_002.png,BITE,23,47,43,67
training_002.png,BITE,48,46,67,62
training_002.png,NORMAL,0,5,21,24
training_002.png,BITE,156,128,176,149
training_002.png,NORMAL,37,109,59,130
training_002.png,BITE,109,40,129,59
training_002.png,BITE,173,132,194,154
training_002.png,BITE,61,86,82,107
training_002.png,BITE,196,169,215,188
training_002.png,BITE,22,112,42,133
training_002.png,NORMAL,159,2,180,22
training_002.png,NORMAL,93,20,112,41
training_002.png,BITE,179,112,197,131
training_002.png,BITE,173,86,193,105
training_003.png,BITE,149,47,169,68
training_003.png,BITE,111,133,132,152
training_003.png,BITE,130,168,148,187
training_003.png,NORMAL,109,177,129,198
training_003.png,NORMAL,109,62,130,83
training_003.png,NORMAL,129,201,148,217
training_003.png,NORMAL,49,90,69,110
training_003.png,NORMAL,0,108,17,128
training_003.png,BITE,179,200,194,215
training_003.png,NORMAL,20,147,41,168
training_003.png,NORMAL,60,60,82,80
training_003.png,NORMAL,67,194,87,215
training_003.png,NORMAL,157,147,177,167
training_003.png,NORMAL,47,174,67,195
training_003.png,BITE,177,17,196,37
training_003.png,BITE,62,47,82,67
training_003.png,BITE,0,174,18,193
training_003.png,NORMAL,37,192,58,212
training_003.png,BITE,107,46,126,66
training_003.png,NORMAL,126,131,147,151
training_003.png,BITE,19,94,39,112
training_003.png,NORMAL,175,105,196,125
training_003.png,BITE,26,198,39,212
training_003.png,BITE,26,68,44,87
training_003.png,NORMAL,175,85,195,108
training_003.png,NORMAL,20,175,41,195
training_003.png,NORMAL,175,154,196,174
training_003.png,NORMAL,152,29,172,49
training_003.png,NORMAL,131,94,150,116
training_003.png,NORMAL,109,2,129,22
training_003.png,NORMAL,180,69,200,91
training_003.png,NORMAL,0,198,19,217
training_003.png,BITE,132,69,152,88
training_003.png,NORMAL,193,62,212,83
training_003.png,NORMAL,131,1,151,18
training_003.png,NORMAL,132,104,155,125
training_003.png,BITE,18,50,33,66
training_003.png,BITE,0,150,15,170
training_003.png,NORMAL,156,4,176,23
training_004.png,BITE,107,197,128,217
training_004.png,NORMAL,40,147,61,168
training_004.png,NORMAL,152,47,174,68
training_004.png,BITE,47,93,65,110
training_004.png,NORMAL,23,46,44,68
training_004.png,BITE,5,132,19,146
training_004.png,NORMAL,170,18,190,39
training_004.png,BITE,93,156,110,175
training_004.png,NORMAL,90,81,109,104
training_004.png,NORMAL,66,84,86,104
training_004.png,NORMAL,0,91,20,111
training_004.png,BITE,168,3,189,22
training_004.png,BITE,17,134,36,155
training_004.png,BITE,194,6,213,27
training_004.png,BITE,68,28,86,46
training_004.png,NORMAL,174,113,194,134
training_004.png,NORMAL,28,82,47,103
training_004.png,BITE,86,128,106,147
training_004.png,NORMAL,175,61,196,82
training_004.png,NORMAL,44,125,64,145
training_004.png,BITE,110,109,129,129
training_004.png,BITE,132,198,148,214
training_004.png,BITE,66,3,84,22
training_004.png,BITE,133,157,150,175
training_004.png,BITE,4,171,23,190
training_004.png,NORMAL,199,70,215,91
training_004.png,BITE,112,1,132,19
training_005.png,BITE,41,113,59,133
training_005.png,NORMAL,17,23,37,43
training_005.png,NORMAL,169,152,188,173
training_005.png,NORMAL,110,1,130,18
training_005.png,NORMAL,129,67,149,86
training_005.png,NORMAL,131,23,151,43
training_005.png,NORMAL,154,106,173,126
training_005.png,NORMAL,152,197,173,217
training_005.png,NORMAL,0,23,19,43
training_005.png,BITE,173,101,190,121
training_005.png,BITE,106,104,124,123
training_005.png,BITE,18,170,34,188
training_005.png,NORMAL,85,42,105,61
training_005.png,BITE,134,155,154,173
training_005.png,BITE,115,66,133,84
training_005.png,BITE,130,132,148,151
training_005.png,NORMAL,0,65,22,85
training_005.png,NORMAL,195,156,214,176
training_005.png,NORMAL,194,67,214,87
training_005.png,NORMAL,131,47,152,68
training_005.png,BITE,16,104,34,121
training_005.png,NORMAL,0,45,20,65
training_005.png,BITE,115,134,134,157
training_005.png,NORMAL,0,156,18,177
training_005.png,BITE,67,8,84,24
training_005.png,NORMAL,59,59,81,81
training_005.png,NORMAL,174,59,196,80
training_005.png,NORMAL,4,169,26,189
training_005.png,NORMAL,26,123,46,144
training_005.png,BITE,172,1,193,17
training_005.png,BITE,84,84,104,104
training_005.png,NORMAL,67,41,87,61
training_005.png,NORMAL,90,126,109,148
training_005.png,NORMAL,202,23,215,43
